Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Son\Son,DFMF,Levante,26,1994,28,1106,12.3,La Liga
Denis Cheryshev\Denis-Cheryshev,MF,Valencia,29,1990,21,1101,12.2,La Liga
Kévin Rodrigues\Kevin-Rodrigues,MFDF,Eibar,26,1994,22,1095,12.2,La Liga
Kévin Gameiro\Kevin-Gameiro,FW,Valencia,33,1987,27,1077,12,La Liga
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,36,1983,22,1067,11.9,La Liga
Marcelo\Marcelo,DF,Real Madrid,32,1988,16,1050,11.7,La Liga
Nemanja Gudelj\Nemanja-Gudelj,MFDF,Sevilla,28,1991,30,1041,11.6,La Liga
Oihan Sancet\Oihan-Sancet,FWMF,Athletic Club,20,2000,24,1035,11.5,La Liga
Adnan Januzaj\Adnan-Januzaj,FWMF,Real Sociedad,25,1995,27,1014,11.3,La Liga
Guido Carrillo\Guido-Carrillo,FW,Elche,29,1991,21,1002,11.1,La Liga
Loren Morón\Loren-Moron,FWMF,Betis,26,1993,26,991,11,La Liga
Rodrygo\Rodrygo,FW,Real Madrid,19,2001,22,983,10.9,La Liga
Manuel Sánchez\Manuel-Sanchez,DF,Osasuna,19,2000,16,976,10.8,La Liga
Toni Villa\Toni-Villa,MFFW,Valladolid,25,1995,21,969,10.8,La Liga
Dani Carvajal\Dani-Carvajal,DF,Real Madrid,28,1992,13,950,10.6,La Liga
Manu Vallejo\Manu-Vallejo,FWMF,Valencia,23,1997,30,950,10.6,La Liga
Míchel\Michel,MF,Valladolid,32,1988,22,946,10.5,La Liga
Sergi Roberto\Sergi-Roberto,DFMF,Barcelona,28,1992,15,946,10.5,La Liga
Pedro León\Pedro-Leon,MFFW,Eibar,33,1986,24,935,10.4,La Liga
Antonio Sanabria\Antonio-Sanabria,FW,Betis,24,1996,16,932,10.4,La Liga
Vicente Iborra\Vicente-Iborra,MF,Villarreal,32,1988,13,928,10.3,La Liga
Javi Sánchez\Javi-Sanchez,DF,Valladolid,23,1997,16,921,10.2,La Liga
Javier Ontiveros\Javier-Ontiveros,FWMF,Huesca,22,1997,20,918,10.2,La Liga
Papu Gómez\Papu-Gomez,MFFW,Sevilla,32,1988,18,914,10.2,La Liga
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,31,1989,13,909,10.1,La Liga
Darko Brašanac\Darko-Brasanac,MF,Osasuna,28,1992,16,909,10.1,La Liga
Isco\Isco,MFFW,Real Madrid,28,1992,25,908,10.1,La Liga
José Ángel\Jose-Angel,DF,Eibar,30,1989,14,901,10,La Liga
Jasper Cillessen\Jasper-Cillessen,GK,Valencia,31,1989,10,900,10,La Liga
Rubén Yáñez\Ruben-Yanez,GK,Getafe,26,1993,10,900,10,La Liga
Sofian Chakla\Sofian-Chakla,DF,Getafe,26,1993,11,897,10,La Liga
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,32,1987,11,883,9.8,La Liga
Deyverson\Deyverson,FW,Alavés,29,1991,27,874,9.7,La Liga
Jony\Jony,MFFW,Osasuna,29,1991,22,871,9.7,La Liga
Carlos Akapo\Carlos-Akapo,DF,Cádiz,27,1993,13,865,9.6,La Liga
Diego Lainez\Diego-Lainez,FW,Betis,20,2000,21,862,9.6,La Liga
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,27,1992,28,860,9.6,La Liga
Dani Escriche\Dani-Escriche,FWMF,Huesca,22,1998,23,857,9.5,La Liga
Tachi\Tachi,DF,Alavés,22,1997,12,850,9.4,La Liga
Munir El Haddadi\Munir-El-Haddadi,FW,Sevilla,24,1995,24,845,9.4,La Liga
Miguel Atienza\Miguel-Atienza,MF,Eibar,21,1999,12,838,9.3,La Liga
Coke\Coke,DF,Levante,33,1987,17,835,9.3,La Liga
Jon Guridi\Jon-Guridi,MF,Real Sociedad,25,1995,17,831,9.2,La Liga
Álvaro Odriozola\Alvaro-Odriozola,DF,Real Madrid,24,1995,13,829,9.2,La Liga
Víctor Díaz\Victor-Diaz,DF,Granada,32,1988,17,828,9.2,La Liga
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,25,1995,22,827,9.2,La Liga
Nikola Vukčević\Nikola-Vukcevic,MF,Levante,28,1991,13,810,9,La Liga
Enric Gallego\Enric-Gallego,FW,Osasuna,33,1986,22,806,9,La Liga
Takefusa Kubo\Takefusa-Kubo,MFFW,Getafe,19,2001,18,805,8.9,La Liga
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,30,1989,23,800,8.9,La Liga
Yeremi Pino\Yeremi-Pino,FWMF,Villarreal,17,2002,24,797,8.9,La Liga
Sergio Gómez\Sergio-Gomez,MFFW,Huesca,19,2000,29,792,8.8,La Liga
Omenuke Mfulu\Omenuke-Mfulu,MF,Elche,26,1994,20,789,8.8,La Liga
Carlos Bacca\Carlos-Bacca,FW,Villarreal,33,1986,23,786,8.7,La Liga
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,22,1998,23,779,8.7,La Liga
Fede Vico\Fede-Vico,MFFW,Granada,26,1994,20,767,8.5,La Liga
José Campaña\Jose-Campana,MF,Levante,27,1993,9,748,8.3,La Liga
Sergio León\Sergio-Leon,FW,Levante,31,1989,28,748,8.3,La Liga
Helibelton Palacios\Helibelton-Palacios,DF,Elche,27,1993,11,743,8.3,La Liga
Nehuén Pérez\Nehuen-Perez,DF,Granada,20,2000,14,741,8.2,La Liga
Francis Coquelin\Francis-Coquelin,MF,Villarreal,29,1991,22,736,8.2,La Liga
Recio\Recio,MF,Eibar,29,1991,17,734,8.2,La Liga
Toni Lato\Toni-Lato,DF,Valencia,22,1997,15,728,8.1,La Liga
Ramiro Funes Mori\Ramiro-Funes-Mori,DF,Villarreal,29,1991,10,727,8.1,La Liga
Toño\Tono,DF,Levante,30,1989,12,726,8.1,La Liga
Cárdenas\Cardenas,GK,Levante,23,1997,8,720,8,La Liga
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,28,1992,8,720,8,La Liga
Sergi Gómez\Sergi-Gomez,DF,Sevilla,28,1992,9,719,8,La Liga
Francisco Trincão\Francisco-Trincao,FWMF,Barcelona,20,1999,28,706,7.8,La Liga
Sidnei\Sidnei,DF,Betis,30,1989,11,697,7.7,La Liga
Willian José\Willian-Jose,FW,Real Sociedad,28,1991,13,689,7.7,La Liga
Héctor Herrera\Hector-Herrera,MF,Atlético Madrid,30,1990,16,682,7.6,La Liga
Jota\Jota,MFFW,Valladolid,21,1999,17,668,7.4,La Liga
Philippe Coutinho\Philippe-Coutinho,MFFW,Barcelona,28,1992,12,654,7.3,La Liga
Karim Rekik\Karim-Rekik,DF,Sevilla,25,1994,11,653,7.3,La Liga
José Fontán\Jose-Fontan,DF,Celta Vigo,20,2000,14,652,7.2,La Liga
Samuel Umtiti\Samuel-Umtiti,DF,Barcelona,26,1993,13,645,7.2,La Liga
Iñigo Lekue\Inigo-Lekue,DF,Athletic Club,27,1993,18,644,7.2,La Liga
Joseba Zaldúa\Joseba-Zaldua,DF,Real Sociedad,28,1992,12,639,7.1,La Liga
Neto\Neto,GK,Barcelona,31,1989,7,630,7,La Liga
Miralem Pjanić\Miralem-Pjanic,MF,Barcelona,30,1990,19,627,7,La Liga
Modibo Sagnan\Modibo-Sagnan,DFMF,Real Sociedad,21,1999,16,622,6.9,La Liga
Geoffrey Kondogbia\Geoffrey-Kondogbia,MFFW,Atlético Madrid,27,1993,25,611,6.8,La Liga
Denis Vavro\Denis-Vavro,DF,Huesca,24,1996,11,611,6.8,La Liga
Iglesias\Iglesias,DFMF,Getafe,22,1998,10,605,6.7,La Liga
Juanmi\Juanmi,FWMF,Betis,27,1993,16,604,6.7,La Liga
Gastón Silva\Gaston-Silva,DF,Huesca,26,1994,12,600,6.7,La Liga
Aleix Vidal\Aleix-Vidal,DF,Sevilla,30,1989,12,595,6.6,La Liga
Fernando Niño\Fernando-Nino,FW,Villarreal,19,2000,17,593,6.6,La Liga
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,21,1998,13,580,6.4,La Liga
Sergio Escudero\Sergio-Escudero,DF,Sevilla,30,1989,9,565,6.3,La Liga
Kevin Vázquez\Kevin-Vazquez,DF,Celta Vigo,27,1993,8,562,6.2,La Liga
Chema\Chema,DFMF,Getafe,28,1992,10,557,6.2,La Liga
Martín Merquelanz\Martin-Merquelanz,FWMF,Real Sociedad,25,1995,13,549,6.1,La Liga
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,20,2000,22,543,6,La Liga
Ilaix\Ilaix,MF,Barcelona,17,2003,14,542,6,La Liga
Facundo Pellistri\Facundo-Pellistri,MFFW,Alavés,18,2001,12,542,6,La Liga
Rodrigo\Rodrigo,FWMF,Betis,20,2000,15,537,6,La Liga
Eden Hazard\Eden-Hazard,FWMF,Real Madrid,29,1991,14,532,5.9,La Liga
Jorge Pombo\Jorge-Pombo,FWMF,Cádiz,26,1994,12,523,5.8,La Liga
Šime Vrsaljko\Sime-Vrsaljko,DF,Atlético Madrid,28,1992,9,519,5.8,La Liga
Lucas Torreira\Lucas-Torreira,MFFW,Atlético Madrid,24,1996,19,518,5.8,La Liga
Mariano\Mariano,FW,Real Madrid,26,1993,16,513,5.7,La Liga
Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,MFFW,Sevilla,22,1998,20,511,5.7,La Liga
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,20,2000,17,505,5.6,La Liga
Raúl García\Raul-Garcia,DFMF,Valladolid,31,1989,8,504,5.6,La Liga
