,,,,,,Play,Play,Play,Play
Player,Nation,Pos,Squad,Age,Born,MP,Min▼,90s,Starts
Ben Davies\Ben-Davies,wls WAL,DF,Tottenham,27,1993,20,1346,15.0,14
Aymeric Laporte\Aymeric-Laporte,es ESP,DF,Manchester City,26,1994,16,1344,14.9,14
Tyler Roberts\Tyler-Roberts,wls WAL,MFFW,Leeds United,21,1999,27,1340,14.9,14
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,30,1989,22,1331,14.8,15
Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,27,1993,25,1331,14.8,15
Oliver McBurnie\Oliver-McBurnie,sct SCO,FW,Sheffield Utd,24,1996,23,1324,14.7,12
Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,26,1994,16,1317,14.6,15
Max Kilman\Max-Kilman,eng ENG,DF,Wolves,23,1997,18,1310,14.6,14
Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,20,2000,24,1306,14.5,15
Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,25,1994,16,1288,14.3,14
